surface,router,name,proposedPermission,kind,procedure,authority,module,level,roles,branch,sensitivity,sensitivityWhy,flags,loc
"trpc","yearEndRouter","approveReopen","reports.year_end.approve","mutation","reportsAdminProcedure","module-gate","reports","FULL","admin","none","HIGH","فعل حسّاس: approve","SENSITIVE_ACTION","server/routers/yearEndRouter.ts:130"
"trpc","yearEndRouter","close","reports.year_end.close","mutation","reportsAdminProcedure","module-gate","reports","FULL","admin","none","HIGH","فعل حسّاس: close","SENSITIVE_ACTION","server/routers/yearEndRouter.ts:24"
"trpc","yearEndRouter","list","reports.year_end.list","query","reportsManagerProcedure","module-gate","reports","FULL","manager","required","LOW","قراءة","","server/routers/yearEndRouter.ts:62"
"trpc","yearEndRouter","rejectReopen","reports.year_end.reject","mutation","reportsAdminProcedure","module-gate","reports","FULL","admin","none","HIGH","فعل حسّاس: reject","SENSITIVE_ACTION","server/routers/yearEndRouter.ts:157"
"trpc","yearEndRouter","reopenRequests","reports.year_end.reopen","query","reportsManagerProcedure","module-gate","reports","FULL","manager","required","LOW","قراءة","","server/routers/yearEndRouter.ts:76"
"trpc","yearEndRouter","requestReopen","reports.year_end.request_reopen","mutation","reportsManagerProcedure","module-gate","reports","FULL","manager","required","HIGH","فعل حسّاس: reopen","SENSITIVE_ACTION","server/routers/yearEndRouter.ts:91"
"express","(express)","GET /status","","route","GET","raw-role","","","admin|manager|open-shift","","HIGH","طباعة خام — أدمن/مدير أو وردية مفتوحة","EXPRESS_SURFACE|RAW_ROLE_GATE|SENSITIVE_ACTION","server/printRoute.ts:50"
"express","(express)","POST /raw","","route","POST","raw-role","","","admin|manager|open-shift","","HIGH","طباعة خام — أدمن/مدير أو وردية مفتوحة","EXPRESS_SURFACE|RAW_ROLE_GATE|SENSITIVE_ACTION","server/printRoute.ts:57"
"express","(express)","POST /test","","route","POST","raw-role","","","admin|manager|open-shift","","HIGH","طباعة خام — أدمن/مدير أو وردية مفتوحة","EXPRESS_SURFACE|RAW_ROLE_GATE|SENSITIVE_ACTION","server/printRoute.ts:93"
"express","(express)","GET /banner/:id/:slot","","route","GET","public","","","public","","LOW","صور عامّة (بنر/منتج)","EXPRESS_SURFACE|UNAUTHENTICATED","server/imageRoute.ts:456"
"express","(express)","GET /company/:companyCode/product/:id","","route","GET","public","","","public","","LOW","صور عامّة (بنر/منتج)","EXPRESS_SURFACE|UNAUTHENTICATED","server/imageRoute.ts:553"
"express","(express)","GET /product/:id","","route","GET","public","","","public","","LOW","صور عامّة (بنر/منتج)","EXPRESS_SURFACE|UNAUTHENTICATED","server/imageRoute.ts:555"
"express","(express)","GET /kiosk-product/:id","","route","GET","device","","","kiosk","","MEDIUM","جهاز كشك — يتجاوز showInStore (كتالوج مخفيّ)","EXPRESS_SURFACE","server/imageRoute.ts:566"
"express","(express)","GET /download","","route","GET","admin","","","admin","","HIGH","كوكي+CSRF، أدمن — تنزيل نسخة كاملة","EXPRESS_SURFACE|ADMIN_ONLY|SENSITIVE_ACTION","server/backupRoutes.ts:26"
"express","(express)","POST /restore-upload","","route","POST","admin","","","admin","","HIGH","كوكي+CSRF، أدمن — تنزيل نسخة كاملة","EXPRESS_SURFACE|ADMIN_ONLY|SENSITIVE_ACTION","server/backupRoutes.ts:48"
"express","(express)","GET /whatsapp","","route","GET","hmac","","","integration","","MEDIUM","توقيع HMAC — Principal تكامل (كتابة صندوق وارد)","EXPRESS_SURFACE","server/routes/channelWebhooks.ts:144"
"express","(express)","POST /whatsapp","","route","POST","hmac","","","integration","","MEDIUM","توقيع HMAC — Principal تكامل (كتابة صندوق وارد)","EXPRESS_SURFACE","server/routes/channelWebhooks.ts:172"
"express","(express)","GET /instagram","","route","GET","hmac","","","integration","","MEDIUM","توقيع HMAC — Principal تكامل (كتابة صندوق وارد)","EXPRESS_SURFACE","server/routes/channelWebhooks.ts:202"
"express","(express)","POST /instagram","","route","POST","hmac","","","integration","","MEDIUM","توقيع HMAC — Principal تكامل (كتابة صندوق وارد)","EXPRESS_SURFACE","server/routes/channelWebhooks.ts:210"
"express","(express)","POST /store","","route","POST","hmac","","","integration","","MEDIUM","توقيع HMAC — Principal تكامل (كتابة صندوق وارد)","EXPRESS_SURFACE","server/routes/channelWebhooks.ts:240"
"express","(express)","GET /:messageId","","route","GET","none","","","session","","HIGH","جلسة مستخدم — وسائط محادثات (PII)","EXPRESS_SURFACE|SENSITIVE_ACTION","server/routes/waMedia.ts:50"
"express","(express)","GET /.well-known/assetlinks.json","","route","GET","public","","","public","","LOW","عامّ بالتصميم","EXPRESS_SURFACE|UNAUTHENTICATED","server/wellKnown.ts:38"
"express","(express)","GET /healthz","","route","GET","public","","","public","","LOW","فحص صحّة عامّ","EXPRESS_SURFACE|UNAUTHENTICATED","server/index.ts:373"
