surface,router,name,proposedPermission,kind,procedure,authority,module,level,roles,branch,sensitivity,sensitivityWhy,flags,loc
"trpc","accountsRouter","list","reports.account.list","query","reportViewerProcedure","module-gate","reports","READ","manager|accountant|auditor","asserted","LOW","قراءة","","server/routers/accountsRouter.ts:10"
"trpc","accountsRouter","tree","reports.account.tree","query","reportViewerProcedure","module-gate","reports","READ","manager|accountant|auditor","asserted","LOW","قراءة","","server/routers/accountsRouter.ts:8"
"trpc","announcementsRouter","acknowledge","announcements.announcement.acknowledge","mutation","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","MEDIUM","كتابة","","server/routers/announcementsRouter.ts:122"
"trpc","announcementsRouter","create","announcements.announcement.create","mutation","announcementsManagerProcedure","module-gate","announcements","FULL","manager","required","MEDIUM","كتابة","","server/routers/announcementsRouter.ts:50"
"trpc","announcementsRouter","get","announcements.announcement.view","query","announcementsReadProcedure","module-map","announcements","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/announcementsRouter.ts:90"
"trpc","announcementsRouter","list","announcements.announcement.list","query","announcementsReadProcedure","module-map","announcements","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/announcementsRouter.ts:86"
"trpc","announcementsRouter","markRead","announcements.announcement.mark_read","mutation","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","MEDIUM","كتابة","","server/routers/announcementsRouter.ts:117"
"trpc","announcementsRouter","mine","announcements.announcement.mine","query","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","LOW","قراءة","","server/routers/announcementsRouter.ts:111"
"trpc","announcementsRouter","setActive","announcements.announcement.update","mutation","announcementsManagerProcedure","module-gate","announcements","FULL","manager","required","MEDIUM","كتابة","","server/routers/announcementsRouter.ts:96"
"trpc","apRemindersRouter","history","purchasing.ap_reminder.history","query","suppliersManagerProcedure","module-gate","suppliers","FULL","manager|warehouse|purchasing","required","LOW","قراءة","","server/routers/apRemindersRouter.ts:72"
"trpc","apRemindersRouter","logSent","purchasing.ap_reminder.log_sent","mutation","suppliersManagerProcedure","module-gate","suppliers","FULL","manager|warehouse|purchasing","required","MEDIUM","كتابة","","server/routers/apRemindersRouter.ts:93"
"trpc","apRemindersRouter","logSkipped","purchasing.ap_reminder.log_skipped","mutation","suppliersManagerProcedure","module-gate","suppliers","FULL","manager|warehouse|purchasing","required","MEDIUM","كتابة","","server/routers/apRemindersRouter.ts:154"
"trpc","apRemindersRouter","queue","purchasing.ap_reminder.queue","query","suppliersManagerProcedure","module-gate","suppliers","FULL","manager|warehouse|purchasing","required","LOW","قراءة","","server/routers/apRemindersRouter.ts:58"
"trpc","apRemindersRouter","sendViaApi","purchasing.ap_reminder.send","mutation","suppliersManagerProcedure","module-gate","suppliers","FULL","manager|warehouse|purchasing","required","HIGH","فعل حسّاس: send","SENSITIVE_ACTION","server/routers/apRemindersRouter.ts:125"
"trpc","arRemindersRouter","history","ar.ar_reminder.history","query","collectionsManagerProcedure","module-gate","collections","FULL","manager|accountant|admin","required","LOW","قراءة","HANDLER_ROLE_CHECK|ADMIN_ONLY","server/routers/arRemindersRouter.ts:98"
"trpc","arRemindersRouter","logSent","ar.ar_reminder.log_sent","mutation","collectionsManagerProcedure","module-gate","collections","FULL","manager|accountant","required","MEDIUM","كتابة","","server/routers/arRemindersRouter.ts:119"
"trpc","arRemindersRouter","logSkipped","ar.ar_reminder.log_skipped","mutation","collectionsManagerProcedure","module-gate","collections","FULL","manager|accountant","required","MEDIUM","كتابة","","server/routers/arRemindersRouter.ts:191"
"trpc","arRemindersRouter","queue","ar.ar_reminder.queue","query","collectionsManagerProcedure","module-gate","collections","FULL","manager|accountant|admin","required","LOW","قراءة","HANDLER_ROLE_CHECK|ADMIN_ONLY","server/routers/arRemindersRouter.ts:82"
"trpc","arRemindersRouter","sendViaApi","ar.ar_reminder.send","mutation","collectionsManagerProcedure","module-gate","collections","FULL","manager|accountant","required","HIGH","فعل حسّاس: send","SENSITIVE_ACTION","server/routers/arRemindersRouter.ts:156"
"trpc","assetsRouter","acquisitionCorrections","assets.asset.acquisition_corrections","query","assetRead","module-map","assets","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:76"
"trpc","assetsRouter","addDocument","assets.asset.create","mutation","assetWrite","module-map","assets","FULL","","none","MEDIUM","كتابة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:318"
"trpc","assetsRouter","addMaintenance","assets.asset.create","mutation","assetWrite","module-map","assets","FULL","","none","MEDIUM","كتابة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:269"
"trpc","assetsRouter","approveAcquisitionCorrection","assets.asset.approve","mutation","assetWrite","module-map","assets","FULL","","none","HIGH","فعل حسّاس: approve","NO_BRANCH_SCOPE|LOCAL_GATE|SENSITIVE_ACTION","server/routers/assetsRouter.ts:104"
"trpc","assetsRouter","create","assets.asset.create","mutation","assetWrite","module-map","assets","FULL","","none","MEDIUM","كتابة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:133"
"trpc","assetsRouter","custodyReport","assets.asset.custody_report","query","assetRead","module-map","assets","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:68"
"trpc","assetsRouter","dashboard","assets.asset.dashboard","query","assetRead","module-map","assets","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:67"
"trpc","assetsRouter","deleteDocument","assets.asset.delete","mutation","assetWrite","module-map","assets","FULL","","none","HIGH","فعل حسّاس: delete","NO_BRANCH_SCOPE|LOCAL_GATE|SENSITIVE_ACTION","server/routers/assetsRouter.ts:332"
"trpc","assetsRouter","disposalLog","assets.asset.disposal_log","query","assetRead","module-map","assets","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:69"
"trpc","assetsRouter","dispose","assets.asset.dispose","mutation","assetWrite","module-map","assets","FULL","","none","MEDIUM","كتابة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:297"
"trpc","assetsRouter","formOptions","assets.asset.form_options","query","assetRead","module-map","assets","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:70"
"trpc","assetsRouter","get","assets.asset.view","query","assetRead","module-map","assets","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:61"
"trpc","assetsRouter","handover","assets.asset.handover","mutation","assetWrite","module-map","assets","FULL","","none","MEDIUM","كتابة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:243"
"trpc","assetsRouter","list","assets.asset.list","query","assetRead","module-map","assets","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:48"
"trpc","assetsRouter","postDepreciation","assets.asset.post_depreciation","mutation","assetWrite","module-map","assets","FULL","","none","MEDIUM","كتابة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:192"
"trpc","assetsRouter","rejectAcquisitionCorrection","assets.asset.reject","mutation","assetWrite","module-map","assets","FULL","","none","HIGH","فعل حسّاس: reject","NO_BRANCH_SCOPE|LOCAL_GATE|SENSITIVE_ACTION","server/routers/assetsRouter.ts:115"
"trpc","assetsRouter","requestAcquisitionCorrection","assets.asset.request_acquisition_correction","mutation","assetWrite","module-map","assets","FULL","","none","MEDIUM","كتابة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:82"
"trpc","assetsRouter","requestSupplierSettlement","assets.asset.request_supplier_settlement","mutation","assetWrite","module-map","assets","FULL","","none","HIGH","فعل حسّاس: settle","NO_BRANCH_SCOPE|LOCAL_GATE|SENSITIVE_ACTION","server/routers/assetsRouter.ts:72"
"trpc","assetsRouter","returnCustody","assets.asset.return_custody","mutation","assetWrite","module-map","assets","FULL","","none","MEDIUM","كتابة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:257"
"trpc","assetsRouter","returnFromMaintenance","assets.asset.return_from_maintenance","mutation","assetWrite","module-map","assets","FULL","","none","MEDIUM","كتابة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:289"
"trpc","assetsRouter","update","assets.asset.update","mutation","assetWrite","module-map","assets","FULL","","none","MEDIUM","كتابة","NO_BRANCH_SCOPE|LOCAL_GATE","server/routers/assetsRouter.ts:204"
"trpc","attendanceRouter","employeeStatement","hr.attendance.employee_statement","query","hrRead","module-map","hr","READ","","scoped","LOW","قراءة","LOCAL_GATE","server/routers/attendanceRouter.ts:117"
"trpc","attendanceRouter","formOptions","hr.attendance.form_options","query","hrRead","module-map","hr","READ","","scoped","LOW","قراءة","LOCAL_GATE","server/routers/attendanceRouter.ts:109"
"trpc","attendanceRouter","list","hr.attendance.list","query","hrRead","module-map","hr","READ","","scoped","LOW","قراءة","LOCAL_GATE","server/routers/attendanceRouter.ts:30"
"trpc","attendanceRouter","monthlyReport","hr.attendance.monthly_report","query","hrRead","module-map","hr","READ","","scoped","LOW","قراءة","LOCAL_GATE","server/routers/attendanceRouter.ts:136"
"trpc","attendanceRouter","monthSummary","hr.attendance.month_summary","query","hrRead","module-map","hr","READ","","scoped","LOW","قراءة","LOCAL_GATE","server/routers/attendanceRouter.ts:111"
"trpc","attendanceRouter","recomputeRates","hr.attendance.recompute_rates","mutation","hrWrite","module-map","hr","FULL","","scoped","MEDIUM","كتابة","LOCAL_GATE","server/routers/attendanceRouter.ts:207"
"trpc","attendanceRouter","record","hr.attendance.create","mutation","hrWrite","module-map","hr","FULL","","scoped","MEDIUM","كتابة","LOCAL_GATE","server/routers/attendanceRouter.ts:159"
"trpc","attendanceRouter","report","hr.attendance.view","query","hrRead","module-map","hr","READ","","scoped","LOW","قراءة","LOCAL_GATE","server/routers/attendanceRouter.ts:148"
"trpc","attendanceRouter","settings","hr.attendance.update","query","hrRead","module-map","hr","READ","","scoped","LOW","قراءة","LOCAL_GATE","server/routers/attendanceRouter.ts:53"
"trpc","attendanceRouter","summary","hr.attendance.view","query","hrRead","module-map","hr","READ","","scoped","LOW","قراءة","LOCAL_GATE","server/routers/attendanceRouter.ts:95"
"trpc","attendanceRouter","updateSettings","admin.attendance.update","mutation","settingsWrite","module-map","settings","FULL","","scoped","MEDIUM","كتابة","LOCAL_GATE","server/routers/attendanceRouter.ts:65"
"trpc","auditRouter","facets","audit.audit.list","query","auditReadProcedure","raw-role","","","admin|auditor","none","LOW","قراءة","RAW_ROLE_GATE|LOCAL_GATE","server/routers/auditRouter.ts:122"
"trpc","auditRouter","list","audit.audit.list","query","auditReadProcedure","raw-role","","","admin|auditor","none","LOW","قراءة","RAW_ROLE_GATE|LOCAL_GATE","server/routers/auditRouter.ts:20"
"trpc","authRouter","changePassword","iam.auth.change_password","mutation","protectedProcedure","none","","","","none","MEDIUM","كتابة","WRITE_WITHOUT_MODULE_GATE","server/routers/authRouter.ts:728"
"trpc","authRouter","login","iam.auth.authenticate","mutation","publicProcedure","none","","","","none","MEDIUM","كتابة","WRITE_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/authRouter.ts:235"
"trpc","authRouter","logout","iam.auth.logout","mutation","publicProcedure","none","","","","none","MEDIUM","كتابة","WRITE_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/authRouter.ts:700"
"trpc","authRouter","me","iam.auth.me","query","publicProcedure","none","","","","none","LOW","قراءة","READ_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/authRouter.ts:174"
"trpc","authRouter","mySessions","iam.auth.my_sessions","query","protectedProcedure","none","","","","none","LOW","قراءة","READ_WITHOUT_MODULE_GATE","server/routers/authRouter.ts:802"
"trpc","authRouter","nativeDeviceChallenge","iam.auth.native_device_challenge","query","nativeBootstrapProcedure","device-bootstrap","","","current-native-client","device","LOW","قراءة","","server/routers/authRouter.ts:172"
"trpc","authRouter","register","iam.auth.create","mutation","adminProcedure","admin","","","admin","none","MEDIUM","كتابة","ADMIN_ONLY","server/routers/authRouter.ts:832"
"trpc","authRouter","resetPasswordWithToken","iam.auth.reset_password_with_token","mutation","passwordResetTokenProcedure","token","users","RESET_TOKEN","password-reset-token","none","HIGH","فعل حسّاس: reset","SENSITIVE_ACTION","server/routers/authRouter.ts:195"
"trpc","authRouter","revokeMySessions","iam.auth.revoke","mutation","protectedProcedure","none","","","","none","HIGH","فعل حسّاس: revoke","WRITE_WITHOUT_MODULE_GATE|SENSITIVE_ACTION","server/routers/authRouter.ts:787"
"trpc","authRouter","revokeSession","iam.auth.revoke","mutation","protectedProcedure","none","","","","none","HIGH","فعل حسّاس: revoke","WRITE_WITHOUT_MODULE_GATE|SENSITIVE_ACTION","server/routers/authRouter.ts:816"
"trpc","authRouter","tenancyMode","iam.auth.tenancy_mode","query","publicProcedure","none","","","","none","LOW","قراءة","READ_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/authRouter.ts:189"
"trpc","authRouter","twoFactorDisable","iam.auth.two_factor_disable","mutation","protectedProcedure","none","","","","none","MEDIUM","كتابة","WRITE_WITHOUT_MODULE_GATE","server/routers/authRouter.ts:635"
"trpc","authRouter","twoFactorRegenerateCodes","iam.auth.two_factor_regenerate_codes","mutation","protectedProcedure","none","","","","none","MEDIUM","كتابة","WRITE_WITHOUT_MODULE_GATE","server/routers/authRouter.ts:678"
"trpc","authRouter","twoFactorSetupConfirm","iam.auth.two_factor_setup_confirm","mutation","protectedProcedure","none","","","","none","MEDIUM","كتابة","WRITE_WITHOUT_MODULE_GATE","server/routers/authRouter.ts:626"
"trpc","authRouter","twoFactorSetupStart","iam.auth.two_factor_setup_start","mutation","protectedProcedure","none","","","","none","MEDIUM","كتابة","WRITE_WITHOUT_MODULE_GATE","server/routers/authRouter.ts:614"
"trpc","authRouter","twoFactorStatus","iam.auth.two_factor_status","query","protectedProcedure","none","","","","none","LOW","قراءة","READ_WITHOUT_MODULE_GATE","server/routers/authRouter.ts:611"
"trpc","authRouter","twoFactorVerify","iam.auth.two_factor_verify","mutation","publicProcedure","none","","","","none","MEDIUM","كتابة","WRITE_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/authRouter.ts:456"
"trpc","barcodeRouter","verify","catalog.barcode.verify","query","publicProcedure","none","","","","none","LOW","قراءة","READ_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/barcodeRouter.ts:19"
"trpc","branchRouter","adminList","admin.branch.admin_list","query","adminProcedure","admin","","","admin","none","LOW","قراءة","ADMIN_ONLY","server/routers/branchRouter.ts:20"
"trpc","branchRouter","create","admin.branch.create","mutation","adminProcedure","admin","","","admin","none","MEDIUM","كتابة","ADMIN_ONLY","server/routers/branchRouter.ts:22"
"trpc","branchRouter","list","admin.branch.list","query","protectedProcedure","none","","","","none","LOW","قراءة","READ_WITHOUT_MODULE_GATE","server/routers/branchRouter.ts:13"
"trpc","branchRouter","setActive","admin.branch.update","mutation","adminProcedure","admin","","","admin","none","MEDIUM","كتابة","ADMIN_ONLY","server/routers/branchRouter.ts:55"
"trpc","branchRouter","update","admin.branch.update","mutation","adminProcedure","admin","","","admin","none","MEDIUM","كتابة","ADMIN_ONLY","server/routers/branchRouter.ts:38"
"trpc","broadcastsRouter","approve","marketing.broadcast.approve","mutation","campaignsManagerProcedure","module-gate","campaigns","FULL","manager","required","HIGH","فعل حسّاس: approve","SENSITIVE_ACTION","server/routers/broadcastsRouter.ts:166"
"trpc","broadcastsRouter","cancel","marketing.broadcast.void","mutation","campaignsManagerProcedure","module-gate","campaigns","FULL","manager","required","HIGH","فعل حسّاس: cancel","SENSITIVE_ACTION","server/routers/broadcastsRouter.ts:192"
"trpc","broadcastsRouter","create","marketing.broadcast.create","mutation","campaignsManagerProcedure","module-gate","campaigns","FULL","manager","required","MEDIUM","كتابة","","server/routers/broadcastsRouter.ts:112"
"trpc","broadcastsRouter","get","marketing.broadcast.view","query","campaignsReadProcedure","module-map","campaigns","READ","","scoped","LOW","قراءة","","server/routers/broadcastsRouter.ts:213"
"trpc","broadcastsRouter","launch","marketing.broadcast.launch","mutation","campaignsManagerProcedure","module-gate","campaigns","FULL","manager","required","MEDIUM","كتابة","","server/routers/broadcastsRouter.ts:153"
"trpc","broadcastsRouter","list","marketing.broadcast.list","query","campaignsReadProcedure","module-map","campaigns","READ","","scoped","LOW","قراءة","","server/routers/broadcastsRouter.ts:209"
"trpc","broadcastsRouter","pause","marketing.broadcast.pause","mutation","campaignsManagerProcedure","module-gate","campaigns","FULL","manager","required","MEDIUM","كتابة","","server/routers/broadcastsRouter.ts:179"
"trpc","broadcastsRouter","preview","marketing.broadcast.view","query","campaignsManagerProcedure","module-gate","campaigns","FULL","manager","required","LOW","قراءة","","server/routers/broadcastsRouter.ts:105"
"trpc","broadcastsRouter","results","marketing.broadcast.results","query","campaignsReadProcedure","module-map","campaigns","READ","","scoped","LOW","قراءة","","server/routers/broadcastsRouter.ts:223"
"trpc","broadcastsRouter","resume","marketing.broadcast.resume","mutation","campaignsManagerProcedure","module-gate","campaigns","FULL","manager","required","MEDIUM","كتابة","","server/routers/broadcastsRouter.ts:201"
"trpc","bundlesRouter","getComponents","catalog.bundle.view","query","productsReadProcedure","module-map","products","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/bundlesRouter.ts:178"
"trpc","bundlesRouter","getRelatedProducts","catalog.bundle.view","query","productsReadProcedure","module-map","products","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/bundlesRouter.ts:35"
"trpc","bundlesRouter","lookupComponentByBarcode","catalog.bundle.list","query","productsManagerProcedure","module-gate","products","FULL","manager","required","LOW","قراءة","","server/routers/bundlesRouter.ts:136"
"trpc","bundlesRouter","previewImpact","catalog.bundle.view","query","productsReadProcedure","module-map","products","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/bundlesRouter.ts:258"
"trpc","bundlesRouter","searchComponents","catalog.bundle.list","query","productsManagerProcedure","module-gate","products","FULL","manager","required","LOW","قراءة","","server/routers/bundlesRouter.ts:87"
"trpc","bundlesRouter","setComponents","catalog.bundle.update","mutation","productsManagerProcedure","module-gate","products","FULL","manager","required","MEDIUM","كتابة","","server/routers/bundlesRouter.ts:233"
"trpc","bundlesRouter","setRelatedProducts","catalog.bundle.update","mutation","productsManagerProcedure","module-gate","products","FULL","manager","required","MEDIUM","كتابة","","server/routers/bundlesRouter.ts:57"
"trpc","cardAccountRouter","createReconciliation","reports.card_account.create","mutation","reportViewerProcedure","module-gate","reports","READ","manager|accountant|auditor|role-check","asserted","MEDIUM","كتابة","HANDLER_ROLE_CHECK|RAW_ROLE_GATE","server/routers/cardAccountRouter.ts:64"
"trpc","cardAccountRouter","movements","reports.card_account.update","query","reportViewerProcedure","module-gate","reports","READ","manager|accountant|auditor","asserted","LOW","قراءة","","server/routers/cardAccountRouter.ts:38"
"trpc","cardAccountRouter","reconciliations","reports.card_account.reconciliations","query","reportViewerProcedure","module-gate","reports","READ","manager|accountant|auditor","asserted","LOW","قراءة","","server/routers/cardAccountRouter.ts:59"
"trpc","cardAccountRouter","summary","reports.card_account.view","query","reportViewerProcedure","module-gate","reports","READ","manager|accountant|auditor","asserted","LOW","قراءة","","server/routers/cardAccountRouter.ts:33"
"trpc","cashRemediationRouter","dryRun","reports.cash_remediation.dry_run","query","reportViewerProcedure","module-gate","reports","READ","manager|accountant|auditor","asserted","LOW","قراءة","","server/routers/cashRemediationRouter.ts:46"
"trpc","cashTransfersRouter","cancel","treasury.cash_transfer.void","mutation","treasuryManagerProcedure","module-gate","treasury","FULL","manager|accountant","required","HIGH","فعل حسّاس: cancel","SENSITIVE_ACTION","server/routers/cashTransfersRouter.ts:84"
"trpc","cashTransfersRouter","list","treasury.cash_transfer.list","query","treasuryManagerReadProcedure","module-gate","treasury","READ","manager|accountant","required","LOW","قراءة","","server/routers/cashTransfersRouter.ts:106"
"trpc","cashTransfersRouter","receive","treasury.cash_transfer.receive","mutation","treasuryManagerProcedure","module-gate","treasury","FULL","manager|accountant","required","MEDIUM","كتابة","","server/routers/cashTransfersRouter.ts:68"
"trpc","cashTransfersRouter","send","treasury.cash_transfer.send","mutation","treasuryManagerProcedure","module-gate","treasury","FULL","manager|accountant","required","HIGH","فعل حسّاس: send","SENSITIVE_ACTION","server/routers/cashTransfersRouter.ts:21"
"trpc","catalogAnomaliesRouter","changeLog","catalog.catalog_anomalie.change_log","query","catalogAnomaliesReadProcedure","module-gate","catalogAnomalies","READ","manager|accountant|auditor","none","LOW","قراءة","","server/routers/catalogAnomaliesRouter.ts:194"
"trpc","catalogAnomaliesRouter","clearOverride","catalog.catalog_anomalie.clear_override","mutation","catalogAnomaliesManagerProcedure","module-gate","catalogAnomalies","FULL","manager","required","HIGH","فعل حسّاس: override","SENSITIVE_ACTION","server/routers/catalogAnomaliesRouter.ts:173"
"trpc","catalogAnomaliesRouter","list","catalog.catalog_anomalie.list","query","catalogAnomaliesReadProcedure","module-gate","catalogAnomalies","READ","manager|accountant|auditor","none","LOW","قراءة","","server/routers/catalogAnomaliesRouter.ts:28"
"trpc","catalogAnomaliesRouter","markIgnored","catalog.catalog_anomalie.mark_ignored","mutation","catalogAnomaliesManagerProcedure","module-gate","catalogAnomalies","FULL","manager","required","MEDIUM","كتابة","","server/routers/catalogAnomaliesRouter.ts:143"
"trpc","catalogAnomaliesRouter","markIntentional","catalog.catalog_anomalie.mark_intentional","mutation","catalogAnomaliesManagerProcedure","module-gate","catalogAnomalies","FULL","manager","required","MEDIUM","كتابة","","server/routers/catalogAnomaliesRouter.ts:110"
"trpc","catalogAnomaliesRouter","revertChange","catalog.catalog_anomalie.reverse","mutation","catalogAnomaliesManagerProcedure","module-gate","catalogAnomalies","FULL","manager","required","MEDIUM","كتابة","","server/routers/catalogAnomaliesRouter.ts:233"
"trpc","catalogRouter","addUnitBarcodeAlias","catalog.catalog.create","mutation","productsManagerProcedure","module-gate","products","FULL","manager","required","MEDIUM","كتابة","","server/routers/catalogRouter.ts:1246"
"trpc","catalogRouter","adminList","catalog.catalog.admin_list","query","productsReadProcedure","module-map","products","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/catalogRouter.ts:478"
"trpc","catalogRouter","assignBarcode","catalog.catalog.update","mutation","productsManagerProcedure","module-gate","products","FULL","manager","required","MEDIUM","كتابة","","server/routers/catalogRouter.ts:1100"
"trpc","catalogRouter","byBarcode","catalog.catalog.by_barcode","query","productsReadProcedure","module-map","products","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/catalogRouter.ts:543"
"trpc","catalogRouter","byProductIds","catalog.catalog.by_product_ids","query","productsReadProcedure","module-map","products","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/catalogRouter.ts:459"
"trpc","catalogRouter","byUnitIds","catalog.catalog.by_unit_ids","query","productsReadProcedure","module-map","products","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/catalogRouter.ts:441"
"trpc","catalogRouter","categories","catalog.catalog.categories","query","productsReadProcedure","module-map","products","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/catalogRouter.ts:1283"
"trpc","catalogRouter","categoriesAdmin","catalog.catalog.categories_admin","query","productsManagerProcedure","module-gate","products","FULL","manager","required","LOW","قراءة","","server/routers/catalogRouter.ts:1305"
"trpc","catalogRouter","categoryStats","catalog.catalog.category_stats","query","productsManagerProcedure","module-gate","products","FULL","manager","required","LOW","قراءة","","server/routers/catalogRouter.ts:1123"
"trpc","catalogRouter","checkBarcodes","catalog.catalog.check_barcodes","query","productsManagerProcedure","module-gate","products","FULL","manager","required","LOW","قراءة","","server/routers/catalogRouter.ts:565"
"trpc","catalogRouter","createCategory","catalog.catalog.create","mutation","productsManagerProcedure","module-gate","products","FULL","manager","required","MEDIUM","كتابة","","server/routers/catalogRouter.ts:1307"
"trpc","catalogRouter","createProduct","catalog.catalog.create","mutation","productsManagerProcedure","module-gate","products","FULL","manager","required","MEDIUM","كتابة","","server/routers/catalogRouter.ts:658"
"trpc","catalogRouter","customizationTemplate","catalog.catalog.customization_template","query","productsManagerProcedure","module-gate","products","FULL","manager","required","LOW","قراءة","","server/routers/catalogRouter.ts:902"
"trpc","catalogRouter","decideContentDraft","catalog.catalog.decide_content_draft","mutation","productsManagerProcedure","module-gate","products","FULL","manager","required","MEDIUM","كتابة","","server/routers/catalogRouter.ts:611"
"trpc","catalogRouter","delete","catalog.catalog.delete","mutation","productsManagerProcedure","module-gate","products","FULL","manager","required","HIGH","فعل حسّاس: delete","SENSITIVE_ACTION","server/routers/catalogRouter.ts:531"
"trpc","catalogRouter","deleteCategory","catalog.catalog.delete","mutation","productsManagerProcedure","module-gate","products","FULL","manager","required","HIGH","فعل حسّاس: delete","SENSITIVE_ACTION","server/routers/catalogRouter.ts:1360"
"trpc","catalogRouter","forPurchase","catalog.catalog.for_purchase","query","productsPurchaseProcedure","module-gate","products","READ","manager|warehouse|purchasing","required","LOW","قراءة","","server/routers/catalogRouter.ts:642"
"trpc","catalogRouter","generateContentDraft","catalog.catalog.generate_content_draft","mutation","productsManagerProcedure","module-gate","products","FULL","manager","required","MEDIUM","كتابة","","server/routers/catalogRouter.ts:570"
"trpc","catalogRouter","getForEdit","catalog.catalog.view","query","productsManagerProcedure","module-gate","products","FULL","manager","required","LOW","قراءة","","server/routers/catalogRouter.ts:765"
"trpc","catalogRouter","getForVariantEdit","catalog.catalog.view","query","productsManagerProcedure","module-gate","products","FULL","manager","required","LOW","قراءة","","server/routers/catalogRouter.ts:958"
"trpc","catalogRouter","lastPurchaseCost","catalog.catalog.last_purchase_cost","query","productsManagerProcedure","module-gate","products","FULL","manager","required","LOW","قراءة","","server/routers/catalogRouter.ts:1183"
"trpc","catalogRouter","listContentDrafts","catalog.catalog.list","query","productsManagerProcedure","module-gate","products","FULL","manager","required","LOW","قراءة","","server/routers/catalogRouter.ts:607"
"trpc","catalogRouter","listUnitBarcodes","catalog.catalog.list","query","productsReadProcedure","module-map","products","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/catalogRouter.ts:1221"
"trpc","catalogRouter","listUnitBarcodesMany","catalog.catalog.list","query","productsReadProcedure","module-map","products","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/catalogRouter.ts:1226"
"trpc","catalogRouter","materialsForRecipe","catalog.catalog.materials_for_recipe","query","productsManagerProcedure","module-gate","products","FULL","manager","required","LOW","قراءة","","server/routers/catalogRouter.ts:750"
"trpc","catalogRouter","mergeCategories","catalog.catalog.merge_categories","mutation","productsManagerProcedure","module-gate","products","FULL","manager","required","MEDIUM","كتابة","","server/routers/catalogRouter.ts:1384"
"trpc","catalogRouter","posList","catalog.catalog.pos_list","query","productsReadProcedure","module-map","products","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/catalogRouter.ts:392"
"trpc","catalogRouter","productImages","catalog.catalog.product_images","query","productsReadProcedure","module-map","products","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/catalogRouter.ts:760"
"trpc","catalogRouter","reassignProducts","catalog.catalog.reassign_products","mutation","productsManagerProcedure","module-gate","products","FULL","manager","required","MEDIUM","كتابة","","server/routers/catalogRouter.ts:1411"
"trpc","catalogRouter","removeUnitBarcodeAlias","catalog.catalog.delete","mutation","productsManagerProcedure","module-gate","products","FULL","manager","required","HIGH","فعل حسّاس: remove","SENSITIVE_ACTION","server/routers/catalogRouter.ts:1270"
